,0
Machine,0.09991197887492997
DllCharacteristics,0.06035848603664877
ResourceSize,0.0445386892854285
MajorOSVersion,0.009394254621109054
NumberOfSections,0.009338241177882688
MajorLinkerVersion,0.004689125390093607
MajorImageVersion,0.003416820036808832
IatVRA,0.0029046971273105292
DebugRVA,0.0019764743538449258
SizeOfStackReserve,0.0017844282627830555
DebugSize,0.001496359126190272
MinorLinkerVersion,0.0012082899895975107
ExportSize,0.0006801632391774115
ExportRVA,0.0006721613187165021
BitcoinAddresses,0.00016804032967909777
