feature,importance
Subsystem_IMAGE_SUBSYSTEM_WINDOWS_CUI,0.3042082
PEType_PE32,0.17334598
PEType_PE32+,0.16749017
Subsystem_IMAGE_SUBSYSTEM_WINDOWS_GUI,0.07761996
min_extra_paragraphs,0.03275247
bytes_on_last_page,0.017120216
Magic_PE32+,0.016835187
rdata_PointerToLineNumbers,0.015400979
DllCharacteristics,0.013778066
pages_in_file,0.011777361
address_of_ne_header,0.008440433
SizeofStackReserve,0.008419389
text_Characteristics,0.0077792457
SizeofStackCommit,0.007370281
rdata_Characteristics,0.0070669474
size_of_header,0.006449475
OperatingSystemVersion,0.00589238
rdata_PointerToRawData,0.0057630097
text_VirtualAddress,0.0056910873
rdata_PointerToRelocations,0.005555346
text_PointerToRawData,0.004815889
ImageBase,0.0047720186
FileAlignment,0.004732188
rdata_VirtualAddress,0.0046534734
SizeofHeapReserve,0.004607856
ImageVersion,0.0045897923
rdata_VirtualSize,0.0044528013
rdata_SizeOfRawData,0.0043983785
BaseOfData,0.003909254
SizeOfCode,0.0038764921
SizeOfHeaders,0.0037831785
SizeOfImage,0.0034172877
Checksum,0.0032551421
AddressOfEntryPoint,0.0030594508
SizeOfUninitializedData,0.0030294114
BaseOfCode,0.0029154883
text_VirtualSize,0.0028807167
SizeOfInitializedData,0.002869793
init_ss_value,0.0028610313
SizeofHeapCommit,0.0027596548
text_SizeOfRawData,0.0027533362
SectionAlignment,0.0026666054
max_extra_paragraphs,0.0026466933
text_PointerToLineNumbers,0.0025201049
EntryPoint,0.0022738543
oem_identifier,0.002241882
"MachineType_Intel 386 or later, and compatibles",0.0020584934
init_sp_value,0.0017849558
over_lay_number,0.0017166109
Magic_PE32,0.0016974104
relocations,0.001452574
init_ip_value,0.00082923024
MachineType_AMD AMD64,0.0004997077
LoaderFlags,0.0004630493
PEType_Unknown (0x2000),0.0
MachineType_Unknown (0),0.0
magic_number_0,0.0
magic_number_MZ,0.0
file_extension_exe,0.0
init_cs_value,0.0
Subsystem_0,0.0
Subsystem_IMAGE_SUBSYSTEM_NATIVE,0.0
Subsystem_IMAGE_SUBSYSTEM_UNKNOWN,0.0
text_PointerToRelocations,0.0
Magic_0,0.0
